epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,696.271,0.95244,0.57906,0.9211,0.97003,0.97353,0.98845,0.84335,0.58414,14.3011,0.8188,0.000555411,0.000555411,0.000555411
2,2915.06,0.64767,0.40001,0.83545,0.97485,0.97577,0.98925,0.9039,0.44599,2.76444,0.79394,0.00105608,0.00105608,0.00105608
3,3603.95,0.59014,0.37736,0.8242,0.95437,0.9649,0.99127,0.91947,0.41852,3.37934,0.79017,0.00150174,0.00150174,0.00150174
4,4315.39,0.54317,0.35029,0.81622,0.97461,0.97747,0.99189,0.93308,0.3797,1.2302,0.78126,0.00141945,0.00141945,0.00141945
5,5012.16,0.50699,0.33035,0.80837,0.97991,0.97249,0.99244,0.9372,0.35772,0.32588,0.77823,0.00133693,0.00133693,0.00133693
6,5758.01,0.46937,0.31059,0.80335,0.97469,0.97773,0.9926,0.93438,0.37231,4.89318,0.77623,0.00125442,0.00125442,0.00125442
7,6658.24,0.45209,0.30119,0.80139,0.98315,0.97414,0.99319,0.9471,0.33704,0.67727,0.77358,0.0011719,0.0011719,0.0011719
8,7314.84,0.43645,0.29138,0.79953,0.98525,0.97318,0.99285,0.95053,0.32585,6.54434,0.77306,0.00108938,0.00108938,0.00108938
9,7973.2,0.41891,0.27959,0.79657,0.98358,0.98414,0.99208,0.95614,0.30883,0.52086,0.76935,0.00100687,0.00100687,0.00100687
10,8700.24,0.39851,0.26607,0.79375,0.9909,0.99041,0.99387,0.96417,0.28527,0.3145,0.76671,0.000924352,0.000924352,0.000924352
11,9358.11,0.40543,0.26576,0.79208,0.98578,0.98536,0.99353,0.95192,0.32565,1.36723,0.77117,0.000841835,0.000841835,0.000841835
12,9996.82,0.38913,0.25327,0.78981,0.97216,0.96613,0.99398,0.95715,0.3024,0.44525,0.76918,0.000759318,0.000759318,0.000759318
13,10637.6,0.36973,0.24257,0.7865,0.99047,0.97453,0.99405,0.95886,0.30237,4.36401,0.76901,0.000676802,0.000676802,0.000676802
14,11279,0.34662,0.22713,0.784,0.99468,0.99542,0.99437,0.96726,0.27584,0.9811,0.76549,0.000594286,0.000594286,0.000594286
15,11939.1,0.33239,0.20929,0.78152,0.99771,0.99685,0.99448,0.97154,0.27281,0.33959,0.76555,0.000511769,0.000511769,0.000511769
16,12609.6,0.31436,0.19676,0.7795,0.99803,0.99771,0.99444,0.97529,0.25164,0.29417,0.76186,0.000429253,0.000429253,0.000429253
17,13271.2,0.29335,0.1848,0.77633,0.99749,0.99766,0.9945,0.97984,0.22787,0.19512,0.75987,0.000346736,0.000346736,0.000346736
18,13910.2,0.27823,0.17455,0.77525,0.99873,0.99859,0.99456,0.98082,0.2228,0.16505,0.75906,0.00026422,0.00026422,0.00026422
19,14568,0.25813,0.16487,0.77277,0.99858,0.99873,0.99452,0.98336,0.21278,0.14968,0.75806,0.000181703,0.000181703,0.000181703
20,15241.7,0.23952,0.1544,0.77161,0.99871,0.99873,0.99454,0.9857,0.19701,0.14597,0.757,9.91865e-05,9.91865e-05,9.91865e-05
